education-num,age,Label
9,50,1
9,58,0
6,46,1
15,43,2
13,44,2
14,56,0
11,24,1
9,34,1
13,31,2
10,51,2
9,43,2
10,27,2
12,31,0
11,34,0
9,40,0
9,35,1
10,36,0
14,44,2
13,42,3
14,68,1
9,18,0
4,40,1
10,23,0
9,37,0
9,29,0
10,54,0
9,44,0
9,28,1
9,28,0
9,21,1
10,29,1
10,64,0
13,61,3
13,33,0
9,33,0
9,51,0
10,45,0
9,31,0
9,18,0
10,30,0
9,33,3
9,31,0
10,20,0
13,28,2
10,32,0
9,20,1
10,35,1
9,39,0
9,32,0
10,34,0
15,44,2
13,57,0
9,45,0
13,31,0
4,69,1
10,38,1
9,33,2
9,34,0
9,42,0
9,22,0
10,30,0
14,57,0
13,47,2
13,27,1
10,32,2
9,31,1
6,55,0
11,42,2
13,37,2
5,31,0
9,55,1
13,42,1
9,60,1
9,48,2
7,22,0
14,65,3
16,34,2
9,41,1
9,20,1
7,17,0
12,40,0
9,31,0
9,31,0
12,37,1
9,20,0
9,31,0
13,41,1
10,21,1
9,23,0
9,22,0
9,26,1
15,27,2
8,24,0
9,35,1
10,18,0
13,40,2
13,37,2
9,47,0
9,51,0
9,30,0
10,31,2
13,43,2
10,50,2
9,20,0
10,36,0
10,32,0
10,20,1
10,45,2
10,24,1
6,20,0
9,41,2
10,44,3
14,42,0
7,17,1
9,40,1
13,36,0
9,45,0
10,43,0
10,55,1
12,43,1
14,54,0
10,25,1
13,33,3
11,52,1
9,24,1
9,62,0
9,35,0
13,38,1
10,21,1
9,53,1
6,18,0
10,26,1
9,27,0
9,48,0
4,17,1
13,35,2
13,50,2
10,33,1
10,47,2
11,62,0
16,64,3
9,26,0
5,55,1
3,57,1
9,20,0
12,50,0
15,33,3
7,39,0
11,29,2
13,57,2
12,27,1
15,45,2
10,43,0
10,32,0
10,23,1
9,56,0
9,38,0
9,25,0
11,34,0
13,31,2
9,46,0
9,51,0
9,24,0
11,35,1
9,25,0
8,62,0
10,24,2
9,23,0
10,24,0
9,34,0
13,52,0
10,48,0
12,24,0
8,17,0
10,18,0
9,53,0
10,45,0
10,22,0
14,47,3
13,69,1
9,46,0
15,44,2
9,44,1
7,35,0
4,36,1
9,33,3
7,32,0
13,57,2
10,27,1
10,19,1
9,43,3
9,33,2
6,42,2
14,55,1
6,17,0
6,28,0
9,30,0
10,31,0
10,51,2
14,46,2
9,22,0
9,38,0
9,25,0
5,46,0
10,27,0
4,62,0
10,19,0
7,41,2
13,29,1
9,42,1
9,53,0
10,38,0
9,26,1
14,62,0
10,48,0
10,47,0
9,29,0
9,27,1
16,32,0
10,19,0
9,34,0
13,24,0
10,43,0
9,33,0
11,41,0
5,53,0
9,26,2
9,26,0
15,55,2
6,33,0
14,30,2
13,25,0
10,63,1
9,48,0
12,56,0
10,28,1
3,64,0
6,25,0
13,40,0
10,35,0
7,48,2
10,30,0
9,23,0
9,36,2
12,23,0
10,31,3
10,68,0
13,26,1
9,65,0
13,50,2
9,22,0
9,25,0
11,41,0
9,33,0
9,26,0
12,52,3
9,36,0
10,36,3
9,27,0
13,31,0
5,20,0
9,34,0
10,19,0
7,58,0
6,29,0
9,56,0
11,34,3
13,36,1
14,46,3
9,63,1
9,46,3
9,68,0
9,61,2
10,22,0
13,38,2
9,37,2
6,66,0
13,23,0
10,44,0
9,25,1
9,32,1
10,20,0
13,30,0
10,22,1
13,34,1
9,40,1
9,23,0
13,54,0
10,21,1
10,20,0
10,40,0
7,17,0
13,36,0
10,90,0
10,20,0
10,58,1
13,65,3
9,65,0
9,31,0
16,68,2
3,51,0
9,68,1
6,48,0
11,37,0
10,67,3
9,43,1
9,18,1
10,22,0
11,49,0
14,63,2
10,24,1
9,39,0
13,25,0
9,51,0
7,39,1
14,50,2
10,30,0
13,42,1
12,33,0
6,76,0
10,52,0
13,32,0
4,59,3
9,31,0
10,25,1
13,48,2
13,40,3
13,31,0
9,47,2
7,49,1
11,55,1
9,58,2
10,52,0
10,45,0
10,47,1
10,67,0
10,30,0
10,49,0
9,28,0
14,47,2
11,65,2
9,28,1
9,36,1
9,50,1
9,43,1
10,50,0
9,49,3
9,61,3
12,47,0
9,25,0
10,42,0
7,17,1
10,29,1
12,41,0
14,40,2
9,44,2
9,27,2
12,36,1
11,27,0
9,19,0
7,64,1
9,31,0
9,24,1
10,22,1
4,49,0
9,52,0
10,22,1
7,47,0
10,22,1
9,72,2
9,59,0
10,72,0
16,32,0
10,46,1
9,38,0
15,47,2
9,33,1
13,51,1
9,65,0
13,37,2
10,59,1
11,23,1
10,54,2
15,51,2
9,22,0
13,39,1
9,51,0
10,47,0
9,49,2
9,28,0
6,32,2
9,29,1
9,34,0
13,37,1
12,20,0
10,22,0
13,41,0
7,19,0
9,46,1
13,34,0
9,24,1
9,37,1
13,47,0
10,32,0
11,46,2
13,44,0
9,38,0
14,47,2
11,26,2
10,21,0
9,64,0
8,32,1
9,56,0
13,41,2
3,71,1
2,28,0
11,24,1
10,20,0
13,44,2
9,35,0
9,21,1
9,58,2
11,33,3
9,36,1
3,22,0
10,49,3
1,50,1
13,28,0
9,44,0
13,38,1
14,44,1
9,41,1
14,34,1
10,33,0
6,72,0
11,58,2
11,24,0
9,52,1
9,19,0
10,33,3
15,59,2
9,35,1
9,51,0
9,32,1
10,21,0
13,23,0
9,58,1
15,41,1
4,35,2
16,36,2
4,76,1
13,44,3
14,68,0
9,30,1
11,48,2
9,38,0
9,50,3
13,46,2
13,54,2
10,49,0
14,34,3
13,38,2
13,23,0
10,22,0
10,49,2
10,57,1
13,33,0
6,25,0
14,44,1
11,30,0
13,32,1
7,27,0
7,18,0
5,49,0
13,34,2
10,28,0
11,27,0
4,37,0
9,36,1
1,51,0
9,19,0
9,39,0
13,38,2
10,32,0
9,20,1
7,22,1
12,48,0
10,23,1
10,53,2
9,24,1
9,25,0
10,55,1
9,26,0
10,23,0
4,57,1
3,61,0
14,41,2
10,20,0
9,59,0
10,42,1
10,41,3
10,65,0
10,21,1
10,50,0
13,26,0
13,32,2
14,40,2
12,32,2
9,67,1
9,30,0
13,44,3
4,34,0
9,61,0
3,47,0
10,20,0
10,45,0
6,40,2
11,38,1
9,35,0
9,22,0
10,58,0
9,34,0
13,37,3
13,28,0
9,28,1
6,17,0
9,37,0
12,47,2
9,56,0
12,32,0
9,71,0
13,34,2
9,63,1
6,46,1
13,43,0
15,25,1
10,62,2
10,50,1
13,44,0
10,22,0
9,30,2
13,25,0
9,51,1
15,55,2
10,42,0
10,21,0
10,24,1
10,66,0
9,59,2
8,62,0
9,65,1
10,43,0
13,26,1
6,30,0
10,39,0
5,18,1
10,61,2
2,59,0
6,55,1
10,46,3
12,30,0
10,26,0
11,33,0
9,40,1
10,37,2
9,18,0
11,21,0
11,29,0
9,54,2
9,29,1
10,27,1
13,44,2
11,51,0
13,35,0
13,30,0
3,33,1
9,18,0
2,44,0
10,19,0
8,39,0
9,59,2
9,58,0
9,31,0
14,45,0
9,27,1
10,26,0
13,32,2
13,51,1
9,35,0
9,50,0
13,24,0
10,27,0
13,40,3
9,50,0
11,29,0
9,22,0
9,45,2
13,29,0
10,30,0
13,24,0
15,46,2
9,28,0
13,65,0
10,51,2
3,47,0
8,27,1
13,52,1
11,36,1
12,37,1
10,44,0
10,57,0
10,48,0
9,23,1
10,19,1
10,43,2
13,28,1
7,23,0
13,27,0
9,33,0
10,44,0
9,27,0
16,51,3
13,25,0
10,90,0
9,90,1
13,34,0
9,73,0
10,48,0
10,32,0
10,54,2
9,29,1
9,54,1
9,44,2
10,54,0
9,44,0
9,19,0
9,28,2
5,74,0
9,31,3
13,54,3
10,23,1
10,53,0
6,55,0
13,31,0
12,25,0
11,46,0
9,29,1
9,35,1
9,55,0
13,26,0
6,58,0
9,25,0
9,41,2
11,22,1
10,54,2
11,37,2
2,28,0
9,54,0
9,34,3
10,38,0
10,50,1
9,58,0
14,28,0
15,40,2
13,25,0
12,44,1
9,57,0
9,24,0
9,51,3
13,39,2
10,29,0
9,40,0
9,53,0
9,50,2
10,20,0
10,21,0
10,55,0
13,40,0
10,22,0
9,45,0
15,30,2
13,56,0
10,25,1
9,18,0
12,34,0
10,25,0
9,26,0
16,63,0
14,44,0
11,30,1
13,29,0
10,59,2
10,48,1
9,32,1
13,35,0
10,67,1
9,41,0
9,24,0
12,25,1
4,37,0
